_time,sender,subject,attachments,recipients,recipients_email_domain,leaver,termination_date,time_month,account_type,wordlist_attachment,wordlist_subject,bunit,department,status,user_response,final_outcome,policy_name,justification
2025-07-21T14:44:19,dave@company.com,Project Update,org.pdf,john@vendor.org,vendor.org,YES,202511,202507,intern,confidential,confidential,Finance,Accounting,Medium,b,f,policy_C,home
2025-06-21T07:05:04,bob@company.com,Quarterly Report,contract.pdf,dave@external.com,external.com,NO,202508,202507,employee,confidential,salary,Engineering,Accounting,Medium,b,g,Ploicy_B,school work 
2025-06-03T04:50:09,dave@company.com,Project Update,cv.pdf,john@vendor.org,vendor.org,YES,202511,202507,intern,confidential,confidential,HR,Recruitment,High,b,f,Ploicy_B,home
2025-06-04T20:34:42,dave@company.com,Confidential Proposal,cv.pdf,sara@client.com,client.com,NO,202509,202507,intern,salary,confidential,HR,Recruitment,High,b,h,policy_C,school work 
2025-06-17T02:02:07,dave@company.com,Resignation Letter,cv.pdf,sara@client.com,client.com,YES,202511,202507,employee,,,HR,Development,Critical,a,f,policy_C,home
2025-06-28T02:29:58,dave@company.com,Quarterly Report,cv.pdf,john@vendor.org,vendor.org,NO,202507,202507,intern,confidential,,Finance,Development,Low,b,g,policy_C,school work 
2025-07-06T18:42:48,dave@company.com,Quarterly Report,home.pdf,dave@external.com,external.com,NO,202507,202507,employee,confidential,,HR,Accounting,Critical,b,h,policy_C,home
2025-06-21T03:46:58,carol@company.com,Resignation Letter,report.pdf,erin@partner.org,partner.org,YES,202510,202507,contractor,,,Engineering,Accounting,Critical,a,g,policy_A,school work 
2025-07-15T01:02:00,alice@company.com,Project Update,report.pdf,erin@partner.org,partner.org,YES,202510,202507,employee,,salary,Engineering,Development,Medium,a,f,Ploicy_B,home
2025-06-18T21:25:00,dave@company.com,Resignation Letter,,dave@external.com,external.com,YES,202507,202507,contractor,,,Finance,Recruitment,Critical,b,g,policy_C,school work 
2025-06-14T05:14:30,carol@company.com,Project Update,report.pdf,john@vendor.org,vendor.org,YES,202512,202507,employee,salary,,Finance,Recruitment,High,a,g,policy_C,home
2025-07-29T05:19:49,dave@company.com,Project Update,,sara@client.com,client.com,NO,202511,202507,intern,,,Finance,Accounting,Low,a,g,Ploicy_B,school work 
2025-06-15T10:21:14,dave@company.com,Project Update,contract.pdf,dave@external.com,external.com,NO,202507,202507,intern,salary,,Engineering,Recruitment,Critical,a,f,policy_C,home
2025-07-30T06:57:01,bob@company.com,Project Update,,sara@client.com,client.com,YES,202511,202507,employee,salary,confidential,Engineering,Accounting,Medium,c,h,policy_A,school work 
2025-06-18T19:27:32,carol@company.com,Quarterly Report,org.pdf,erin@partner.org,partner.org,YES,202507,202507,contractor,salary,confidential,Engineering,Development,Critical,a,g,policy_C,home
2025-07-08T08:16:48,carol@company.com,Confidential Proposal,org.pdf,dave@external.com,external.com,YES,202507,202507,contractor,salary,confidential,Finance,Development,Medium,b,f,policy_A,school work 
2025-06-09T13:10:08,bob@company.com,Quarterly Report,contract.pdf,sara@client.com,client.com,NO,202512,202507,intern,confidential,,Engineering,Recruitment,Medium,a,f,policy_C,home
2025-07-19T00:57:17,alice@company.com,Project Update,report.pdf,sara@client.com,client.com,YES,202509,202507,employee,,confidential,Engineering,Recruitment,Critical,a,h,Ploicy_B,school work 
2025-06-25T08:28:17,dave@company.com,Project Update,home.pdf,erin@partner.org,partner.org,NO,202507,202507,intern,confidential,,HR,Recruitment,High,a,f,policy_A,home
2025-07-27T11:55:50,bob@company.com,Confidential Proposal,cv.pdf,john@vendor.org,vendor.org,YES,202512,202507,intern,salary,,Finance,Recruitment,Medium,b,h,policy_C,school work 
2025-06-08T13:50:56,dave@company.com,Quarterly Report,report.pdf,john@vendor.org,vendor.org,YES,202512,202507,intern,confidential,confidential,Finance,Accounting,Low,a,h,policy_A,home
2025-07-30T19:41:58,dave@company.com,Quarterly Report,contract.pdf,dave@external.com,external.com,YES,202510,202507,intern,,salary,Engineering,Accounting,Medium,c,g,policy_C,school work 
2025-06-23T22:46:20,alice@company.com,Resignation Letter,cv.pdf,sara@client.com,client.com,NO,202509,202507,employee,,confidential,Finance,Recruitment,Low,c,g,policy_A,home
2025-07-12T18:54:38,bob@company.com,Resignation Letter,,john@vendor.org,vendor.org,YES,202507,202507,employee,salary,salary,HR,Accounting,Medium,a,g,policy_C,school work 
2025-07-17T02:47:27,carol@company.com,Resignation Letter,home.pdf,dave@external.com,external.com,YES,202509,202507,contractor,salary,confidential,Finance,Accounting,Medium,a,h,policy_A,home
2025-06-07T14:22:19,bob@company.com,Confidential Proposal,home.pdf,john@vendor.org,vendor.org,NO,202510,202507,intern,,,HR,Development,Low,c,f,Ploicy_B,school work 
2025-07-06T19:44:00,carol@company.com,Quarterly Report,report.pdf,erin@partner.org,partner.org,YES,202509,202507,intern,salary,confidential,HR,Development,High,a,h,Ploicy_B,home
2025-06-03T18:05:56,carol@company.com,Quarterly Report,,sara@client.com,client.com,YES,202510,202507,employee,,salary,HR,Accounting,Medium,b,h,Ploicy_B,school work 
2025-06-18T05:37:57,dave@company.com,Confidential Proposal,contract.pdf,sara@client.com,client.com,NO,202510,202507,intern,salary,salary,Engineering,Recruitment,Critical,c,h,Ploicy_B,home
2025-06-27T20:35:52,alice@company.com,Confidential Proposal,cv.pdf,john@vendor.org,vendor.org,YES,202510,202507,intern,salary,confidential,HR,Accounting,Medium,c,g,policy_A,school work 
2025-06-03T19:52:42,carol@company.com,Quarterly Report,report.pdf,sara@client.com,client.com,NO,202508,202507,employee,,salary,HR,Recruitment,Low,c,f,policy_A,home
2025-07-29T09:25:29,bob@company.com,Confidential Proposal,cv.pdf,erin@partner.org,partner.org,NO,202512,202507,contractor,,salary,Finance,Accounting,High,c,h,policy_C,school work 
2025-06-06T05:31:20,bob@company.com,Project Update,contract.pdf,sara@client.com,client.com,YES,202511,202507,intern,,confidential,Finance,Recruitment,Critical,b,h,Ploicy_B,home
2025-06-07T08:32:52,carol@company.com,Resignation Letter,org.pdf,erin@partner.org,partner.org,YES,202512,202507,intern,salary,salary,Finance,Recruitment,Medium,c,g,policy_C,school work 
2025-07-06T05:13:30,carol@company.com,Project Update,org.pdf,john@vendor.org,vendor.org,YES,202508,202507,intern,salary,salary,Engineering,Development,Low,b,f,Ploicy_B,home
2025-06-27T16:41:01,alice@company.com,Quarterly Report,org.pdf,john@vendor.org,vendor.org,NO,202511,202507,contractor,confidential,,Finance,Recruitment,Critical,c,f,policy_A,school work 
2025-07-02T23:03:29,carol@company.com,Quarterly Report,report.pdf,sara@client.com,client.com,NO,202511,202507,intern,salary,confidential,HR,Accounting,Medium,a,g,policy_A,home
2025-06-20T13:00:24,alice@company.com,Resignation Letter,home.pdf,dave@external.com,external.com,NO,202508,202507,contractor,confidential,,Finance,Recruitment,Critical,c,f,policy_A,school work 
2025-06-23T00:52:26,carol@company.com,Confidential Proposal,,sara@client.com,client.com,YES,202508,202507,employee,,salary,Finance,Accounting,High,c,h,policy_C,home
2025-06-14T01:04:14,dave@company.com,Project Update,cv.pdf,erin@partner.org,partner.org,NO,202511,202507,intern,salary,,HR,Development,Medium,a,f,policy_C,school work 
